# rx_stall wheel=1 t=39155 SR=0x00D4 CR3=0x0041 NDTR=475 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=43916 SR=0x00D4 CR3=0x0041 NDTR=752 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=49615 SR=0x00D4 CR3=0x0041 NDTR=305 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=50260 SR=0x0014 CR3=0x00C1 NDTR=375 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=51256 SR=0x00D4 CR3=0x0041 NDTR=930 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=51301 SR=0x00D4 CR3=0x0041 NDTR=347 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=51647 SR=0x00D4 CR3=0x0041 NDTR=674 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=52265 SR=0x00D# rx_stall wheel=2 t=49628 SR=0x0014 CR3=0x00C1 NDTR=232 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=50073 SR=0x00D4 CR3=0x0041 NDTR=584 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=50480 SR=0x00D4 CR3=0x0041 NDTR=43 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=50843 SR=0x00D4 CR3=0x0041 NDTR=467 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=52483 SR=0x00D4 CR3=0x0041 NDTR=381 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=53148 SR=0x00D4 CR3=0x0041 NDTR=90 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=55006 SR=0x00D4 CR3=0x0041 NDTR=722 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=55546 SR=0x00D4 CR3=0x0041 NDTR=70 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=55877 SR=0x00D4 CR3=0x0041 NDTR=125 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=56923 SR=0x00D4 CR3=0x0041 NDTR=661 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=57226 SR=0x00D4 CR3=0x0041 NDTR=880 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=60248 SR=0x00D4 CR3=0x0041 NDTR=341 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=60756 SR=0x00D4 CR3=0x0041 NDTR=851 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=61867 SR=0x00D4 CR3=0x0041 NDTR=825 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=63766 SR=0x00D4 CR3=0x0041 NDTR=140 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=65238 SR=0x00D4 CR3=0x0041 NDTR=10 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=68963 SR=0x00D4 CR3=0x0041 NDTR=192 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=70053 SR=0x00D4 CR3=0x0041 NDTR=841 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=2 t=71071 SR=0x0014 CR3=0x00C1 NDTR=942 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=71110 SR=0x00D4 CR3=0x0041 NDTR=327 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=73351 SR=0x00D4 CR3=0x0041 NDTR=616 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=74675 SR=0x00D4 CR3=0x0041 NDTR=89 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=3 t=77167 SR=0x00D4 CR3=0x0041 NDTR=988 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=0 t=78506 SR=0x00D4 CR3=0x0041 NDTR=925 EN=1 RxState=0x22 Err=0x00
# rx_stall wheel=1 t=79200 SR=0x00D4 CR3=0x0041 NDTR=849 EN=1 RxState=0x22 Err=0x00
# TCS log: max_accel=1800 jerk=25000 accel_th=400 geom_th=1500 rot_th=450 [x100] margin=150 exit=100 [mm/s] n=997
t_ms,tcs_on,slip,target_vx,cmd_vx,odom_vx,odom_vy,ground_vx,ground_vy,a_odom_x_cm,a_imu_x_cm,accel_res_cm,geom_res_x10,rot_res_mrad,accel_gain_x1000,w0_x100,w1_x100,w2_x100,w3_x100,cmd_vy,cmd_w_mrad,gyro_mrad,t0_x100,t1_x100,t2_x100,t3_x100,rx_stall,rx_restart,v0_x100,v1_x100,v2_x100,v3_x100
561,1,0,2000,2000,985,26,971,20,198,249,0,-53,-242,1000,-2908,-2404,1976,2706,0,640,-364,-5300,-4553,4874,5621,0,0,-184,-161,154,175
571,1,0,2000,2000,984,5,982,41,52,129,0,-50,-197,1000,-2910,-2335,2059,2680,0,635,-304,-5302,-4555,4872,5619,0,0,-184,-161,154,175
581,1,0,2000,2000,1011,-26,982,26,206,37,0,-34,-14,1000,-2968,-2318,2276,2700,0,649,-319,-5298,-4551,4876,5623,0,0,-184,-161,154,175
591,1,0,2000,2000,1041,12,1005,2,265,93,0,-40,110,1000,-2974,-2449,2260,2889,0,664,-372,-5294,-4547,4880,5627,0,0,-184,-161,154,175
601,1,0,2000,2000,997,50,1030,30,-170,198,0,-12,462,1000,-2626,-2412,2225,2873,0,674,-356,-5292,-4545,4882,5629,0,0,-184,-160,154,175
611,1,0,2000,2000,1052,44,1028,31,305,63,0,-13,326,1000,-2816,-2551,2343,2990,0,673,-320,-5292,-4545,4882,5629,0,0,-184,-160,154,175
621,1,0,2000,2000,1057,72,1038,20,114,42,0,-18,350,1000,-2784,-2614,2279,3072,0,686,-333,-5289,-4542,4885,5632,0,0,-183,-160,154,175
631,1,0,2000,2000,1058,68,1071,59,45,234,0,-29,123,1000,-2862,-2626,2217,3041,0,687,-293,-5289,-4542,4886,5632,0,0,-183,-160,154,175
641,1,0,2000,2000,1052,76,1070,69,40,98,0,-16,601,1000,-2680,-2534,2343,3139,0,687,-265,-5289,-4542,4885,5632,0,0,-183,-160,154,175
651,1,0,2000,2000,1064,24,1060,35,45,0,0,-35,644,1000,-2850,-2395,2446,3113,0,699,-308,-5286,-4539,4889,5635,0,0,-183,-160,154,175
661,1,0,2000,2000,1074,-16,1088,45,125,214,0,-67,255,1000,-3099,-2314,2414,3057,0,701,-212,-5285,-4538,4889,5636,0,0,-183,-160,154,175
671,1,0,2000,2000,1062,8,1097,54,-1,157,0,-58,98,1000,-3018,-2388,2332,3033,0,690,-133,-5288,-4541,4886,5633,0,0,-183,-160,154,175
681,1,0,2000,2000,1101,36,1076,17,203,-59,0,-32,323,1000,-2964,-2559,2474,3190,0,683,-150,-5290,-4543,4884,5631,0,0,-183,-160,154,175
691,1,0,2000,2000,1116,19,1096,17,195,91,0,-44,37,1000,-3108,-2570,2475,3176,0,687,-46,-5289,-4542,4885,5632,0,0,-183,-160,154,175
701,1,0,2000,2000,1113,25,1135,29,74,260,0,-50,318,1000,-3022,-2484,2516,3273,0,666,-11,-5294,-4547,4880,5627,0,0,-184,-160,154,175
711,1,0,2000,2000,1116,9,1125,16,55,57,0,-28,85,1000,-3058,-2553,2568,3159,0,659,40,-5296,-4549,4878,5625,0,0,-184,-161,154,175
721,1,0,2000,2000,1125,12,1106,26,64,-89,0,-25,-25,1000,-3084,-2599,2579,3173,0,650,104,-5298,-4551,4876,5623,0,0,-184,-161,154,175
731,1,0,2000,2000,1087,-65,1121,8,-195,79,0,10,-334,1000,-3130,-2493,2683,2765,0,637,101,-5301,-4554,4873,5620,0,0,-184,-161,154,175
741,1,0,2000,2000,1124,-19,1135,-15,185,151,0,-1,-225,1000,-3149,-2640,2654,2995,0,636,68,-5301,-4554,4873,5620,0,0,-184,-161,154,175
751,1,0,2000,2000,1152,18,1126,0,260,14,0,2,-126,1000,-3120,-2779,2665,3160,0,639,69,-5301,-4554,4873,5620,0,0,-184,-161,154,175
761,1,0,2000,2000,1176,3,1157,-2,267,149,0,-31,56,1000,-3255,-2684,2703,3305,0,637,14,-5301,-4554,4873,5620,0,0,-184,-161,154,175
771,1,0,2000,2000,1170,-22,1167,-6,115,117,0,-49,-146,1000,-3389,-2629,2641,3214,0,648,-36,-5298,-4551,4876,5623,0,0,-184,-161,154,175
781,1,0,2000,2000,1182,-14,1176,-17,103,84,0,-46,-224,1000,-3430,-2714,2633,3227,0,659,-73,-5296,-4549,4878,5625,0,0,-184,-161,154,175
791,1,0,2000,2000,1182,-5,1198,-3,75,188,0,-86,-405,1000,-3545,-2679,2466,3284,0,668,-73,-5294,-4547,4881,5628,0,0,-184,-160,154,175
801,1,0,2000,2000,1162,52,1169,16,-126,-89,0,-12,253,1000,-3059,-2790,2629,3343,0,673,-84,-5292,-4545,4882,5629,0,0,-184,-160,154,175
811,1,0,2000,2000,1216,-5,1195,-11,332,128,0,-34,-23,1000,-3434,-2798,2768,3355,0,676,-90,-5292,-4545,4883,5630,0,0,-184,-160,154,175
