63508,4,-800,-9,-12,-31,-753,1,1,1,1,498,441,498,498,0,0,0,0
63608,4,-800,7,16,-4,-846,1,1,1,1,496,498,498,497,0,0,0,0
63708,4,-800,-2,-24,25,-771,1,1,1,1,457,473,484,495,0,0,0,0
63808,4,-800,70,18,-14,-805,1,1,1,1,496,497,497,496,0,0,0,0
63908,4,-800,-17,52,14,-808,1,1,1,1,498,497,497,496,0,0,0,0
64008,0,0,-1,45,-7,-841,0,0,0,0,497,496,498,496,0,0,0,0
64108,0,0,45,-8,9,19,0,0,0,0,491,421,496,488,0,0,0,0
64208,0,0,22,14,41,18,0,0,0,0,490,473,496,463,0,0,0,0
64309,0,0,31,-3,9,-19,0,0,0,0,492,465,488,433,0,0,0,0
64409,0,0,28,-25,-4,-8,0,0,0,0,501,497,501,409,0,0,0,0
64509,0,0,4,-38,0,13,0,0,0,0,495,453,493,495,0,0,0,0
64609,0,0,1,4,-19,9,0,0,0,0,489,422,496,496,0,0,0,0
64709,0,0,-19,66,25,0,0,0,0,0,451,464,407,481,0,0,0,0
64809,0,0,-16,-12,-17,25,0,0,0,0,433,493,414,498,0,0,0,0
64909,0,0,-16,26,-3,25,0,0,0,0,459,447,497,451,0,0,0,0
65009,1,800,-3,-31,-8,12,1,1,1,1,496,492,496,496,0,0,0,0
65109,1,800,838,-38,-45,-12,1,1,1,1,497,497,497,496,0,0,0,0
65209,1,800,813,52,42,22,1,1,1,1,493,498,498,497,0,0,0,0
65309,1,800,753,-3,56,6,1,1,1,1,497,481,496,497,0,0,0,0
65409,1,800,764,25,-24,1,1,1,1,1,497,494,493,497,0,0,0,0
65509,1,800,855,-85,13,-17,1,1,1,1,495,498,497,497,0,0,0,0
65609,1,800,425,-16,-9,8,1,1,1,1,500,493,503,503,0,0,0,0
65709,1,800,822,-11,-78,-4,1,1,1,1,495,494,496,493,0,0,0,0
65809,1,800,778,-14,39,9,1,1,1,1,497,497,497,497,0,0,0,0
65909,1,800,769,-7,14,-19,1,1,1,1,494,491,497,496,0,0,0,0
66009,1,800,804,12,0,50,1,1,1,1,496,497,496,497,0,0,0,0
66109,1,800,766,53,9,0,1,1,1,1,494,495,497,494,0,0,0,0
66209,1,800,791,-36,3,6,1,1,1,1,496,493,496,426,0,0,0,0
66309,1,800,849,-28,-13,26,1,1,1,1,495,497,496,493,0,0,0,0
66409,1,800,650,-21,-48,-1,1,1,1,1,497,496,497,498,0,0,0,0
66509,1,800,791,-18,39,6,1,1,1,1,497,497,441,497,0,0,0,0
66609,1,800,791,-29,-19,-26,1,1,1,1,501,502,502,501,0,0,0,0
66709,1,800,753,-94,6,9,1,1,1,1,497,498,495,465,0,0,0,0
66809,1,800,789,31,0,21,1,1,1,1,495,477,496,496,0,0,0,0
66909,1,800,741,-4,-14,-17,1,1,1,1,491,493,497,497,0,0,0,0
67009,1,-800,768,-36,-16,-19,1,1,1,1,495,498,497,491,0,0,0,0
67109,1,-800,-1060,-58,-3,-1,1,1,1,1,497,495,497,494,0,0,0,0
67209,1,-800,-780,38,6,14,1,1,1,1,495,498,497,497,0,0,0,0
67309,1,-800,-791,16,21,-14,1,1,1,1,497,494,497,453,0,0,0,0
67409,1,-800,-813,-26,-7,14,1,1,1,1,495,478,473,494,0,0,0,0
67509,1,-800,-863,-6,11,0,1,1,1,1,495,488,497,493,0,0,0,0
67609,1,-800,-849,-21,-28,17,1,1,1,1,492,489,497,494,0,0,0,0
67709,1,-800,-783,-44,4,17,1,1,1,1,491,491,496,492,0,0,0,0
67809,1,-800,-824,7,-4,-4,1,1,1,1,497,454,497,496,0,0,0,0
67909,1,-800,-789,-68,1,18,1,1,1,1,494,495,497,496,0,0,0,0
68009,1,-800,-826,-22,-2,14,1,1,1,1,497,496,496,495,0,0,0,0
68109,1,-800,-834,-26,39,9,1,1,1,1,497,495,498,495,0,0,0,0
68209,1,-800,-1021,-42,-6,-4,1,1,1,1,496,497,497,497,0,0,0,0
68309,1,-800,-760,19,13,-16,1,1,1,1,492,494,498,491,0,0,0,0
68409,1,-800,-776,37,16,6,1,1,1,1,495,498,497,463,0,0,0,0
68509,1,-800,-820,-75,2,-7,1,1,1,1,497,497,497,470,0,0,0,0
68609,1,-800,-818,19,37,-3,1,1,1,1,497,498,498,497,0,0,0,0
68709,1,-800,-741,-48,19,7,1,1,1,1,496,490,497,498,0,0,0,0
68809,1,-800,-796,31,9,-6,1,1,1,1,490,429,495,497,0,0,0,0
68909,1,-800,-813,48,-3,11,1,1,1,1,497,495,495,492,0,0,0,0
69009,0,0,-821,-29,-6,2,0,0,0,0,490,496,497,442,0,0,0,0
69109,0,0,6,45,-26,17,0,0,0,0,389,462,497,332,0,0,0,0
69209,0,0,-13,9,-4,36,0,0,0,0,502,502,501,492,0,0,0,0
69309,0,0,57,32,-31,-9,0,0,0,0,496,470,496,492,0,0,0,0
69409,0,0,-2,9,-21,-4,0,0,0,0,480,423,495,497,0,0,0,0
69509,0,0,4,19,37,-7,0,0,0,0,450,495,493,495,0,0,0,0
69609,0,0,-9,0,-7,-19,0,0,0,0,497,496,498,501,0,0,0,0
69709,0,0,-14,-17,28,-17,0,0,0,0,495,394,496,490,0,0,0,0
69809,0,0,4,-41,-1,9,0,0,0,0,490,469,493,432,0,0,0,0
69909,0,0,-4,-14,-4,-1,0,0,0,0,450,492,496,471,0,0,0,0
70009,2,800,-8,-2,-8,14,1,1,1,1,494,480,494,455,0,0,0,0
70109,2,800,-13,864,-16,4,1,1,1,1,497,501,501,502,0,0,0,0
70209,2,800,28,849,-6,-17,1,1,1,1,497,496,497,497,0,0,0,0
